Alps,1
Appalachian Mountains,2
British Isles,3
Caribbean,4
Cascade Range,5
Central American Cordillera,6
Central Cordillera,7
Central Montana Rocky Mountains,8
Columbia Mountains,9
Colorado Plateau,10
Dinaric Alps,11
Dry Andes,12
Eastern Cordillera,13
Galician Massif,14
Hellenides,15
High Atlas,16
Himalayas,17
Idaho-Bitterroot Rocky Mountains,18
Italian Peninsula,19
Karakoram,20
Macaronesia,21
Northern California Coast Ranges,22
North Cascades,23
Olympic Mountains,24
Oregon Coast Range,25
Patagonian Andes,26
Peripheral System,27
Sierra Nevada,28
Southern California Coast Ranges,29
Southern Rocky Mountains,30
Southwest Basins and Ranges,31
Trans-Mexican Volcanic Belt,32
Transverse Ranges,33
Western Ghats,34
Western Rocky Mountains,35
